,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
119,Xinyu,46,CN,1604374021,43,27.8,114.93,65.71,11.23
120,Hobart,0,AU,1604373929,30,-42.88,147.33,89.01,11.41
121,Sitka,90,US,1604374022,80,57.05,-135.33,39.2,3.36
122,Rosarito,5,MX,1604374022,93,32.33,-117.03,66.2,5.77
123,Emerald,0,AU,1604374022,40,-23.53,148.17,86.0,8.05
124,Cherskiy,100,RU,1604374022,90,68.75,161.3,-4.41,8.08
125,Cidreira,10,BR,1604374022,76,-30.18,-50.21,61.9,6.64
126,Tasiilaq,0,GL,1604374022,42,65.61,-37.64,30.2,3.36
127,Guerrero Negro,2,MX,1604374022,75,27.98,-114.06,69.71,10.87
128,Lázaro Cárdenas,0,MX,1604373904,69,17.96,-102.2,79.79,4.45
129,Saint-François,90,FR,1604374022,93,46.42,3.91,52.0,1.12
130,Cachoeirinha,0,BR,1604373879,93,-29.95,-51.09,62.6,2.24
131,Constitución,63,CL,1604373815,90,-35.33,-72.42,51.73,8.7
132,Kayes,0,ML,1604374023,77,14.0,-11.0,69.8,2.24
133,Portree,100,GB,1604374023,86,57.41,-6.19,42.01,9.01
134,Paratinga,96,BR,1604374023,90,-12.69,-43.18,72.1,4.23
135,Mulanje,83,MW,1604374023,77,-16.03,35.5,69.87,2.86
136,Beira,40,MZ,1604373818,94,-19.84,34.84,69.8,3.36
137,Pindwāra,0,IN,1604374023,22,24.8,73.07,73.63,2.53
138,Mariehamn,90,AX,1604374024,87,60.1,19.93,50.0,9.17
139,Dingle,100,PH,1604374024,74,11.0,122.67,85.93,10.25
140,Marawi,100,PH,1604373865,71,8.0,124.29,84.99,8.01
141,Salalah,0,OM,1604373907,43,17.02,54.09,69.8,3.36
142,Trat,20,TH,1604374024,70,12.5,102.5,87.8,14.99
143,Goderich,98,CA,1604374024,65,43.75,-81.72,44.6,21.92
144,Adrar,100,MR,1604374024,18,20.5,-10.07,77.56,10.89
145,Lagoa,100,PT,1604374024,69,39.05,-27.98,62.2,15.21
146,Nome,90,US,1604373858,79,64.5,-165.41,21.99,4.7
147,Oistins,75,BB,1604373976,78,13.07,-59.53,80.6,19.46
148,Saint Paul Harbor,1,US,1604373837,53,57.79,-152.41,24.8,14.99
149,Āsosa,48,ET,1604374025,85,10.07,34.53,62.82,5.84
150,Casa Nova,75,BR,1604374025,100,-9.42,-41.13,73.4,2.24
151,Klaksvík,3,FO,1604374025,81,62.23,-6.59,42.8,21.92
152,Bang Saphan,20,TH,1604374025,70,11.21,99.51,89.6,6.93
153,Thompson,90,CA,1604374025,92,55.74,-97.86,21.2,8.05
154,Port-Gentil,44,GA,1604374025,85,-0.72,8.78,77.34,6.42
155,Kourou,90,GF,1604374026,100,5.16,-52.65,75.2,7.65
156,Los Llanos de Aridane,0,ES,1604374026,73,28.66,-17.92,71.6,13.87
157,Dzaoudzi,0,YT,1604374026,83,-12.79,45.27,77.0,5.82
158,Flinders,0,AU,1604374026,60,-34.58,150.86,73.99,4.0
159,Guozhen,96,CN,1604374026,35,34.37,107.36,57.96,4.99
160,Maués,13,BR,1604374026,68,-3.38,-57.72,80.73,0.13
161,Yar-Sale,39,RU,1604374026,96,66.83,70.83,19.53,8.59
162,Saint-Philippe,90,RE,1604374026,56,-21.36,55.77,69.8,4.7
163,Mehamn,61,NO,1604374027,86,71.04,27.85,43.23,21.77
164,Suşehri,56,TR,1604374027,80,40.16,38.09,47.95,2.28
165,Sola,100,VU,1604374027,77,-13.88,167.55,80.74,4.76
166,Omsukchan,100,RU,1604374027,93,62.53,155.8,12.07,4.97
167,George Town,20,MY,1604374027,78,5.41,100.34,82.4,3.36
168,Chara,0,RU,1604373841,80,56.91,118.26,-0.44,1.32
169,Barrow,90,US,1604374028,74,71.29,-156.79,28.4,16.11
170,Pisco,90,PE,1604374028,82,-13.7,-76.22,64.99,11.41
171,Isangel,75,VU,1604374028,70,-19.55,169.27,84.2,11.41
172,Faya,0,SA,1604374028,37,18.39,42.45,53.6,0.96
173,Faanui,1,PF,1604374028,78,-16.48,-151.75,79.93,17.34
174,Pevek,100,RU,1604373813,95,69.7,170.31,11.17,21.77
175,Meulaboh,99,ID,1604374029,83,4.14,96.13,81.05,3.58
176,Simbahan,99,PH,1604374029,77,6.3,120.58,83.35,15.46
177,Iqaluit,90,CA,1604374029,85,63.75,-68.51,15.8,27.51
178,Port Lincoln,100,AU,1604374029,29,-34.73,135.87,83.71,13.06
179,Shache,33,CN,1604374029,43,38.42,77.24,49.05,0.76
180,Zhelyabovka,100,UA,1604374029,82,45.4,34.76,51.04,2.95
181,Severo-Kuril'sk,100,RU,1604374029,87,50.68,156.12,44.15,30.89
182,Colonia Nueva Germania,41,PY,1604373847,64,-23.9,-56.57,68.45,2.15
183,Buta,100,CD,1604374030,98,2.79,24.73,69.78,0.63
184,Pālang,40,BD,1604374030,70,23.22,90.35,84.2,3.85
185,Port Macquarie,22,AU,1604373875,43,-31.43,152.92,73.99,1.99
186,Qaqortoq,94,GL,1604374030,40,60.72,-46.03,37.4,12.75
187,Kruisfontein,1,ZA,1604374030,96,-34.0,24.73,55.99,1.99
188,Impfondo,100,CG,1604374030,98,1.64,18.07,69.66,0.83
189,Sioux Lookout,90,CA,1604373868,74,50.1,-91.92,35.6,2.24
190,Narsaq,96,GL,1604373796,40,60.92,-46.05,37.4,12.75
191,Asău,100,RO,1604374031,93,46.43,26.4,46.99,3.98
192,Nanortalik,99,GL,1604374031,78,60.14,-45.24,37.62,14.2
193,Airai,94,TL,1604374031,37,-8.93,125.41,80.85,4.54
194,Ahipara,100,NZ,1604374031,73,-35.17,173.17,69.19,14.65
195,Siocon,98,PH,1604374031,68,7.71,122.14,85.23,4.97
196,Mettet,24,BE,1604374031,93,50.32,4.66,46.4,10.29
197,Contamana,100,PE,1604373786,66,-7.33,-75.02,75.97,1.03
198,Uray,3,RU,1604374031,97,60.12,64.78,23.67,5.46
199,Francistown,93,BW,1604374032,68,-21.17,27.51,68.07,6.55
200,Nago,40,JP,1604374032,65,26.59,127.98,77.0,20.8
201,Morristown,1,US,1604374032,64,36.21,-83.29,39.0,3.91
202,Maragogi,25,BR,1604374032,84,-9.01,-35.22,75.87,6.11
203,Chicama,91,PE,1604374032,84,-7.84,-79.15,60.8,5.26
204,Ribeira Brava,75,PT,1604374032,73,32.65,-17.07,69.8,12.75
205,Vostok,100,RU,1604374032,94,46.49,135.88,21.88,10.18
206,Ilulissat,100,GL,1604373904,44,69.22,-51.1,21.2,21.92
207,Khrebtovaya,100,RU,1604374033,97,56.7,104.25,27.95,8.84
208,Erenhot,0,CN,1604373846,68,43.65,111.98,33.78,7.74
209,Kloulklubed,75,PW,1604374033,66,7.04,134.26,87.8,10.29
210,Pangnirtung,100,CA,1604374033,84,66.15,-65.71,17.33,13.31
211,Arecibo,100,PR,1604374033,90,18.47,-66.72,77.0,6.76
212,Te Anau,4,NZ,1604374033,40,-45.42,167.72,67.93,2.93
213,Kashan,0,IR,1604374033,41,33.98,51.44,54.03,2.89
214,Puerto Ayacucho,90,VE,1604374033,91,5.66,-67.62,76.35,3.47
215,Kavieng,11,PG,1604373793,66,-2.57,150.8,85.89,0.58
216,Addanki,0,IN,1604374034,75,15.82,79.98,79.79,7.4
217,Pokosnoye,72,RU,1604374034,95,55.53,101.05,31.26,9.26
218,Zhigansk,100,RU,1604373754,91,66.77,123.37,2.37,18.16
219,Puerto Gaitán,83,CO,1604374034,86,4.31,-72.08,78.04,5.82
220,Bulawayo,77,ZW,1604374034,72,-20.15,28.58,64.83,7.16
221,Manzanillo,100,CU,1604374034,87,20.34,-77.12,76.5,11.61
222,Policoro,5,IT,1604374035,100,40.21,16.67,54.0,1.12
223,Bambous Virieux,40,MU,1604374035,69,-20.34,57.76,73.4,12.75
224,Port Keats,60,AU,1604374035,44,-14.25,129.55,93.29,9.19
225,Mungeli,1,IN,1604374035,38,22.07,81.68,74.7,5.57
226,Birin,8,NP,1604374035,85,26.89,88.07,64.8,2.68
227,Ryōtsu-minato,40,JP,1604374035,62,38.08,138.43,59.0,13.87
228,Talnakh,40,RU,1604374035,85,69.49,88.4,10.4,2.24
229,Godda,0,IN,1604374035,46,24.83,87.22,76.66,6.04
230,Lensk,100,RU,1604374036,94,60.73,114.93,18.14,8.37
231,Tiksi,100,RU,1604373831,93,71.69,128.87,5.0,2.42
232,Betamcherla,0,IN,1604374036,74,15.47,78.17,77.56,4.72
233,Lebowakgomo,0,ZA,1604374036,77,-24.2,29.5,60.8,9.17
234,Olafsvik,97,IS,1604374036,80,64.89,-23.71,38.77,16.28
235,Yenagoa,99,NG,1604374036,92,4.92,6.26,75.16,2.98
236,Talcahuano,10,CL,1604373915,87,-36.72,-73.12,55.4,8.05
237,Luanda,75,AO,1604374037,88,-8.84,13.23,77.0,6.93
238,Richards Bay,1,ZA,1604374037,91,-28.78,32.04,67.98,10.25
239,Haines Junction,100,CA,1604374037,60,60.75,-137.51,5.0,4.7
240,Norsup,90,VU,1604374037,94,-16.07,167.38,78.8,8.05
241,Ghanzi,93,BW,1604374037,61,-21.57,21.78,69.53,9.24
242,Carnarvon,0,AU,1604373759,38,-24.87,113.63,75.2,14.99
243,Rognan,100,NO,1604374037,88,67.1,15.39,46.0,3.0
244,Udachny,90,RU,1604374037,84,66.42,112.4,6.8,2.24
245,Adré,5,TD,1604374037,29,13.47,22.2,73.65,16.62
246,Tabou,0,CI,1604374038,87,4.42,-7.35,77.49,3.58
247,Tuktoyaktuk,75,CA,1604373779,84,69.45,-133.04,1.4,9.17
248,Alta Floresta,68,BR,1604374038,94,-9.88,-56.09,70.75,1.86
249,Champerico,99,GT,1604374038,95,14.3,-91.92,66.99,3.85
250,Abu Samrah,28,SY,1604374038,71,35.3,37.18,57.43,1.97
251,Codrington,100,AU,1604374038,65,-38.27,141.97,78.67,16.87
252,De-Kastri,89,RU,1604374038,71,51.47,140.78,36.91,5.28
253,São José da Coroa Grande,24,BR,1604374038,83,-8.9,-35.15,76.51,7.07
254,Auki,100,SB,1604373814,91,-8.77,160.7,76.95,2.39
255,Spanţov,0,RO,1604374039,81,44.12,26.78,53.01,3.36
256,Kaili,12,ID,1604374039,61,-3.46,120.21,82.92,4.83
257,Poplar Bluff,1,US,1604374039,70,36.76,-90.39,44.01,3.36
258,Kuusamo,90,FI,1604374039,93,65.97,29.18,41.0,14.99
259,Rio Brilhante,0,BR,1604374039,60,-21.8,-54.55,66.25,4.12
260,Kuril'sk,82,RU,1604374039,62,45.23,147.88,46.99,9.08
261,Inhambane,58,MZ,1604373840,76,-23.86,35.38,71.2,1.86
262,Itarema,10,BR,1604374039,85,-2.92,-39.92,78.46,8.32
263,Santa Luzia,40,BR,1604374039,59,-19.77,-43.85,66.2,10.29
264,Manitouwadge,85,CA,1604374040,64,49.12,-85.84,33.8,4.7
265,Wuwei,3,CN,1604374040,43,37.93,102.64,48.88,6.02
266,Makakilo City,20,US,1604373922,54,21.35,-158.09,84.2,8.05
267,Santa Lucía,20,ES,1604374040,77,27.91,-15.54,69.8,16.11
268,North Battleford,1,CA,1604374040,43,52.78,-108.28,51.8,11.41
269,Russell,1,US,1604374040,86,32.35,-85.2,48.2,4.45
270,Padang,98,ID,1604373813,67,-0.95,100.35,82.87,2.15
271,Mnogovershinnyy,81,RU,1604374040,93,53.94,139.92,23.94,5.86
272,Le Moule,95,GP,1604374041,78,16.33,-61.35,78.8,5.82
273,Shimoda,75,JP,1604374041,82,34.67,138.95,66.2,8.05
274,Orcopampa,6,PE,1604374041,55,-15.27,-72.34,46.98,2.68
275,Kahului,40,US,1604373832,62,20.89,-156.47,84.2,18.34
276,Jiexiu,0,CN,1604374041,37,37.02,111.91,51.67,4.65
277,Nishihara,75,JP,1604374041,61,26.18,127.76,77.0,20.8
278,Whitehorse,90,CA,1604373857,77,60.72,-135.05,3.2,2.24
279,Campana,0,AR,1604374041,88,-34.17,-58.96,64.0,6.2
280,Necochea,0,AR,1604374042,73,-38.55,-58.74,55.99,8.01
281,Upernavik,87,GL,1604373829,91,72.79,-56.15,15.93,7.34
282,Rawson,100,AR,1604374042,28,-43.3,-65.1,75.67,17.72
283,Siaya,40,KE,1604374042,88,0.06,34.29,66.2,4.7
284,Itoman,40,JP,1604373846,65,26.12,127.67,77.0,28.86
285,Changanācheri,27,IN,1604373773,72,9.47,76.55,84.0,0.87
286,Ostrovnoy,100,RU,1604374042,82,68.05,39.51,42.21,29.71
287,Oktyabr'skiy,0,RU,1604374042,96,54.48,53.47,32.52,3.83
288,Cabra,0,ES,1604374042,87,37.47,-4.44,59.0,1.12
289,Najrān,0,SA,1604374042,32,17.49,44.13,53.6,2.13
290,Cairns,40,AU,1604374043,43,-16.92,145.77,89.6,19.46
291,Isla Aguada,84,MX,1604374043,76,18.78,-91.47,79.34,22.84
292,Herat Province,0,AF,1604374043,34,34.5,62.0,48.2,7.54
293,Tongchuanshi,95,CN,1604374043,37,35.08,109.09,54.86,4.88
294,Natitingou,82,BJ,1604374043,64,10.3,1.38,69.8,3.29
295,São Felipe,100,BR,1604374043,91,-14.82,-41.38,66.24,4.21
296,Hong Kong,6,HK,1604373744,65,22.29,114.16,75.99,1.01
297,Aktyubinskiy,0,RU,1604374043,98,54.81,52.81,30.67,6.91
298,Guaratuba,20,BR,1604374044,100,-25.88,-48.57,57.99,1.12
299,Alyangula,100,AU,1604374044,49,-13.85,136.42,93.2,11.41
300,Eureka,90,US,1604373901,93,40.8,-124.16,48.99,5.82
301,Lorengau,23,PG,1604374044,63,-2.02,147.27,87.31,1.14
302,Yashkul',99,RU,1604374044,59,46.17,45.34,53.37,6.85
303,Leningradskiy,100,RU,1604373809,89,69.38,178.42,14.38,21.45
304,Puerto Baquerizo Moreno,89,EC,1604374044,87,-0.9,-89.6,68.38,12.1
305,Batticaloa,1,LK,1604374045,72,7.71,81.69,82.44,6.04
306,Inírida,96,CO,1604374045,94,3.87,-67.92,74.57,1.66
307,Aykhal,90,RU,1604374045,84,66.0,111.5,6.8,2.24
308,Tual,100,ID,1604374045,77,-5.67,132.75,82.45,7.9
309,Mercedes,0,AR,1604374045,88,-34.65,-59.43,60.01,7.72
310,Cradock,0,ZA,1604374045,70,-32.16,25.62,60.87,2.98
311,Pemangkat,88,ID,1604374045,73,1.17,108.97,83.8,8.9
312,Kodinsk,92,RU,1604374045,96,58.69,99.18,25.02,7.99
313,Ludwigslust,0,DE,1604374046,91,53.32,11.5,53.01,7.0
314,Rehoboth,0,NA,1604374046,33,-23.32,17.08,57.74,5.77
315,Lompoc,90,US,1604373836,93,34.64,-120.46,57.2,3.36
316,Troitsko-Pechorsk,40,RU,1604374046,97,62.71,56.2,23.85,7.78
317,Banmankhi,5,IN,1604374046,48,25.88,87.18,76.68,7.31
318,Hernani,75,ES,1604374046,93,43.27,-1.98,57.0,5.82
319,Waingapu,75,ID,1604374046,60,-9.66,120.26,88.02,10.6
320,Baruun-Urt,0,MN,1604374046,67,46.68,113.28,24.71,12.93
321,Olinda,40,BR,1604374046,74,-8.01,-34.86,80.6,5.82
322,Øksfjord,100,NO,1604374047,70,70.24,22.35,42.8,14.99
323,Bandarbeyla,66,SO,1604374047,81,9.49,50.81,77.27,18.1
324,Sisimiut,100,GL,1604374047,84,66.94,-53.67,18.91,19.06
325,Quatre Cocos,40,MU,1604374047,69,-20.21,57.76,73.4,12.75
326,Galveston,1,US,1604374047,55,29.37,-94.97,64.99,8.05
327,Kaihua,100,CN,1604374047,76,23.37,104.28,55.67,3.42
328,Makarov,56,RU,1604374047,67,48.63,142.8,40.39,10.45
329,Laje,100,BR,1604374048,85,-10.18,-40.97,70.34,2.39
330,Yagodnoye,100,RU,1604374048,92,62.55,149.67,6.4,4.25
331,Wuchang,97,CN,1604374048,77,44.91,127.15,26.92,14.5
332,Sawākin,32,SD,1604374048,74,19.11,37.33,82.44,7.74
333,Palāsa,63,IN,1604374048,68,18.77,84.42,82.96,4.29
334,Na Klang,75,TH,1604374048,74,17.31,102.19,84.2,4.29
335,Urusha,47,RU,1604374048,82,54.05,122.9,14.22,6.15
336,Mount Gambier,100,AU,1604373794,35,-37.83,140.77,84.2,17.22
337,Gamba,88,GA,1604374049,93,-2.65,10.0,75.09,4.52
338,Sakakah,75,SA,1604374049,68,29.97,40.21,68.0,19.46
339,Bubaque,7,GW,1604374049,75,11.28,-15.83,83.28,10.87
340,Hammerfest,75,NO,1604373751,80,70.66,23.68,39.2,11.41
341,Miyakonojō,20,JP,1604374049,42,31.73,131.07,68.0,19.46
342,Longyearbyen,75,SJ,1604374049,95,78.22,15.64,32.0,49.44
343,Khuzhir,100,RU,1604374050,91,53.19,107.34,29.17,3.31
344,Huehuetenango,89,GT,1604374050,100,15.32,-91.47,46.99,2.68
345,Faranah,0,GN,1604374050,76,10.04,-10.74,70.0,2.51
346,Spornoye,90,RU,1604374050,100,50.84,37.29,46.4,6.71
347,Hobyo,60,SO,1604374050,81,5.35,48.53,80.08,11.86
348,Salinas,90,US,1604373796,93,36.68,-121.66,59.0,9.17
349,Cabo San Lucas,5,MX,1604373871,74,22.89,-109.91,78.8,2.86
350,Rudnichnyy,0,RU,1604374050,97,59.62,52.47,24.28,5.28
351,Miraflores,5,MX,1604374051,57,19.22,-98.81,50.0,13.87
352,Porto Velho,75,BR,1604374051,94,-8.76,-63.9,75.2,4.7
353,Santa Rosa,40,PH,1604374051,62,14.31,121.11,89.6,6.93
354,Tokur,100,RU,1604374051,89,53.13,132.9,15.85,7.96
355,Praia da Vitória,75,PT,1604374051,72,38.73,-27.07,60.8,15.7
356,Vanavara,82,RU,1604374051,96,60.34,102.28,21.27,9.22
357,Mīzan Teferī,0,ET,1604374051,87,6.98,35.58,60.49,2.89
358,Rundu,66,NA,1604374051,68,-17.93,19.77,69.01,0.38
359,Morondava,30,MG,1604374052,75,-20.28,44.28,75.51,4.18
360,Guhāgar,0,IN,1604374052,65,17.48,73.19,79.36,5.21
361,Campbell River,90,CA,1604373776,87,50.02,-125.24,50.0,6.93
362,Bauchi,100,NG,1604374052,37,10.5,10.0,69.6,3.15
363,Huanan,37,CN,1604374052,81,46.22,130.52,28.06,19.19
364,Uglegorsk,89,RU,1604374052,68,49.08,142.03,38.82,9.86
365,San Miguel de Tucumán,0,AR,1604373973,46,-26.82,-65.22,69.8,8.05
366,Carupano,72,VE,1604374053,85,10.67,-63.26,75.33,6.22
367,Shubarshi,0,KZ,1604374053,57,48.59,57.19,43.43,10.0
368,Songkhla,40,TH,1604374053,83,6.83,100.67,84.2,2.21
369,Ucluelet,100,CA,1604373852,90,48.93,-125.55,51.01,1.01
370,Tigil',100,RU,1604374053,76,57.8,158.67,37.0,12.57
371,Anchorage,1,US,1604374053,28,61.22,-149.9,21.2,9.35
372,Sinnamary,89,GF,1604374053,88,5.38,-52.95,77.76,8.79
